year_month,base,quote,rate,
2010-01,HNL,USD,0.052556064,
2010-02,HNL,USD,0.052556064,
2010-03,HNL,USD,0.052556064,
2010-04,HNL,USD,0.052556617,
2010-05,HNL,USD,0.052556064,
2010-06,HNL,USD,0.052556064,
2010-07,HNL,USD,0.052557998,
2010-08,HNL,USD,0.052559103,
2010-09,HNL,USD,0.052558826,
2010-10,HNL,USD,0.052556893,
2010-11,HNL,USD,0.052559103,
2010-12,HNL,USD,0.052558274,
2015-01,HNL,USD,0.045961585,
2015-02,HNL,USD,0.045604002,
2015-03,HNL,USD,0.045477905,
2015-04,HNL,USD,0.045261362,
2015-05,HNL,USD,0.045266484,
2015-06,HNL,USD,0.045293547,
2015-07,HNL,USD,0.045305039,
2015-08,HNL,USD,0.045178137,
2015-09,HNL,USD,0.045245593,
2015-10,HNL,USD,0.045059659,
2015-11,HNL,USD,0.044842848,
2015-12,HNL,USD,0.044550375,
2020-01,HNL,USD,0.04028668,
2020-02,HNL,USD,0.040251005,
2020-03,HNL,USD,0.040179684,
2020-04,HNL,USD,0.040032827,
2020-05,HNL,USD,0.039993281,
2020-06,HNL,USD,0.040081927,
2020-07,HNL,USD,0.040238696,
2020-08,HNL,USD,0.04046486,
2020-09,HNL,USD,0.04056104,
2020-10,HNL,USD,0.040702029,
2020-11,HNL,USD,0.040891099,
2020-12,HNL,USD,0.04112231,
2025-01,HNL,USD,0.039099308,
2025-02,HNL,USD,0.038935655,
2025-03,HNL,USD,0.038853963,
2025-04,HNL,USD,0.03871962,
2025-05,HNL,USD,0.038429465,
2025-06,HNL,USD,0.038176827,
2025-07,HNL,USD,0.037994065,
2025-08,HNL,USD,0.038178576,
2025-09,HNL,USD,0.038155123,
2025-10,HNL,USD,0.037965937,
2025-11,HNL,USD,0.037858998,
2025-12,HNL,USD,0.037770484,
2011-01,HNL,USD,0.05255634,
2011-02,HNL,USD,0.052556064,
2026-04,HNL,USD,0.037858998,