Listing ID,Title,Missing Fields,Multi Offer,Prices Found,Bedrooms Found,Notes
1,#ALQUILERES,Price; Currency; Bedrooms; Bathrooms; AT; Area; Neighborhood,NO,,,#ALQUILERES
2,"* COL. PALMIRA, 2 locales para bodega de 80.00 Mts. con su b",Bedrooms; Bathrooms; AT; Neighborhood,NO,,,"* COL. PALMIRA, 2 locales para bodega de 80.00 Mts. con su baño, etc. Lps. 8,000.00"
3,"* COL. PALMIRA, bodega de 40.00 Mts. con su baño, etc., Lps.",Bedrooms; Bathrooms; AT; Neighborhood,NO,,,"* COL. PALMIRA, bodega de 40.00 Mts. con su baño, etc., Lps. 6,000.00"
4,"* COMAYAGUELA, bodega de 347 Mts., con su baño, segura con c",Bedrooms; Bathrooms; AT; Transaction; Neighborhood,NO,,,"* COMAYAGUELA, bodega de 347 Mts., con su baño, segura con cortinas, L. 22,000.00"
5,"* COMAYAGUELA, bodega de 100 Mts., con su baño, etc., L. 14,",Bedrooms; Bathrooms; AT; Transaction; Neighborhood,NO,,,"* COMAYAGUELA, bodega de 100 Mts., con su baño, etc., L. 14,000.00"
6,"* AVE. COLON, Tegucigalpa, 1 local para oficina, 2 salas, 2 ",Bedrooms; AT; Area; Transaction; Neighborhood,NO,,,"* AVE. COLON, Tegucigalpa, 1 local para oficina, 2 salas, 2 baños, L.3,000.00"
7,"* LOMAS DEL MAYAB: Res. 6 cubículos para oficina, 2 salas, u",Bedrooms; AT; Area; Neighborhood,NO,"$ 2,700.00",,"* LOMAS DEL MAYAB: Res. 6 cubículos para oficina, 2 salas, una conferencias, estudio, 4 baños, 2 bodegas grandes, 6 aires acondicionados, cámaras, por"
8,"* COL. LOS ANGELES: Res. de 3 hab., sala grande, comedor, co",Bathrooms; AT; Area; Neighborhood,NO,$ 600.00,3,"* COL. LOS ANGELES: Res. de 3 hab., sala grande, comedor, cocina, área de empleo, garaje (2) $ 600.00"
9,"* COL. LOS ALMENDROS, townhouse 2 hab., sala, comedor, cocin",AT; Area; Neighborhood,NO,$ 800.00,2,"* COL. LOS ALMENDROS, townhouse 2 hab., sala, comedor, cocina, 1 baño, terraza, $ 800.00"
10,"* COL. LOMA LINDA NORTE, Res. de 3 hab., sala, comedor, coci",Bathrooms; AT; Area; Neighborhood,NO,$ 900.00,3,"* COL. LOMA LINDA NORTE, Res. de 3 hab., sala, comedor, cocina, empleo, garaje, $ 900.00"
11,"* COL. LAS HADAS, apartamento de 2 hab., 3 baños, sala, come",AT; Area; Neighborhood,NO,,2,"* COL. LAS HADAS, apartamento de 2 hab., 3 baños, sala, comedor, cocina, patio, lavandería, estacionamiento, Lps. 7,500.00"
12,"* EL TABLON, Res. de 3 hab., 2 baños, sala, comedor, cocina,",AT; Area; Neighborhood,NO,,3,"* EL TABLON, Res. de 3 hab., 2 baños, sala, comedor, cocina, 2 baños, garaje doble, patio, lavandería, calle pavimentada, Lps. 7,000.00"
13,"* Bº LA LEONA, terreno de 800 Vrs² todos los servicios para ",Bedrooms; Bathrooms; AT; Area; Neighborhood,NO,,,"* Bº LA LEONA, terreno de 800 Vrs² todos los servicios para taller, car wash, Lps. 10,000.00"
14,"* SANTA LUCIA (F.M.), Res. de 2 plantas, sala, comedor, coci",AT; Area; Neighborhood,NO,$ 800.00,2,"* SANTA LUCIA (F.M.), Res. de 2 plantas, sala, comedor, cocina con mueble, sala familiar, 1 baño de visitas, 2da. Planta, 2 hab., 2 baños, garaje, áre"
15,"* COL. LOMAS DEL MAYAB, local de 80 Mts., 3 salas grandes, 5",Bedrooms; Bathrooms; AT; Neighborhood,NO,"$ 2,000.00",,"* COL. LOMAS DEL MAYAB, local de 80 Mts., 3 salas grandes, 5 espacios para oficinas, garaje 6 carros, área gerencial, vista panorámica a la ciudad, et"
16,"* COL. MIRAFLORES, Apto. De 1 hab., 1 baño completo, cocinet",AT; Area; Neighborhood,NO,,1,"* COL. MIRAFLORES, Apto. De 1 hab., 1 baño completo, cocineta, desayunador, incluye agua, luz, cable, Lps. 3,500.00"
17,"* COL. MIRAFLORES, apto. De 1 habitación grande, 1 baño comp",Bedrooms; AT; Area; Transaction; Neighborhood,NO,,,"* COL. MIRAFLORES, apto. De 1 habitación grande, 1 baño completo, cocineta, desayunador, incluye agua, luz, cable, L. 4,500.00"
18,#VENTAS:,Price; Currency; Bedrooms; Bathrooms; AT; Area; Neighborhood,NO,,,#VENTAS:
19,"* COL. RESIDENCIAL HONDURAS, res. de 2 plantas, sala, comedo",Bedrooms; Bathrooms; AT; Area; Neighborhood,NO,,,"* COL. RESIDENCIAL HONDURAS, res. de 2 plantas, sala, comedor, cocina, garaje y patio pequeño, Lps. 1,200,000.00"
20,"* SIGUATEPEQUE, lote de terreno plano de 500 Vrs², frente GR",Bedrooms; Bathrooms; AT; Area; Neighborhood,NO,,,"* SIGUATEPEQUE, lote de terreno plano de 500 Vrs², frente GRANJA DELIA, con todos los servicios, calle pavimentada Lps. 450,000.00"
21,"* COL. RESIDENCIAL PLaza, Res. de 3 hab., 3 baños, sala, com",AT; Area; Neighborhood,NO,,3,"* COL. RESIDENCIAL PLaza, Res. de 3 hab., 3 baños, sala, comedor, cocina, garaje 2 carros, área de trabajadora con su baño, tanque de agua, Lps. 1,500"
22,"* COL. KENNEDY. local comercial de 89.92 varas, con cortina,",Bedrooms; Bathrooms; Area; Neighborhood,NO,,,"* COL. KENNEDY. local comercial de 89.92 varas, con cortina, construido para una 2da. planta, Lps. 500,000.00"
23,"* COL. CERRO GRANDE, zona No. 4, Res. de 7 hab., sala, comed",AT; Area; Neighborhood,NO,,7,"* COL. CERRO GRANDE, zona No. 4, Res. de 7 hab., sala, comedor, cocina con mueble, 5 baños, garaje 5 carros, porch, lavandería, patio, área de empleo,"
24,"* COMAYAGUA, terreno de 200 manzanas, al frente tiene 1 Km. ",Price; Currency; Bedrooms; Bathrooms; Area; Transaction; Neighborhood,NO,,,"* COMAYAGUA, terreno de 200 manzanas, al frente tiene 1 Km. con la autopista de 4 carriles, al Canal Seco, con río que riega la propiedad, 10,000,000."
25,"* MERCADO SAN ISIDRO, terreno plano propio para bodega 10 Mt",Bedrooms; Bathrooms; AT; Transaction; Neighborhood,NO,,,"* MERCADO SAN ISIDRO, terreno plano propio para bodega 10 Mts. frente por 30 Mts. de fondo L. 1,000,000.00"
26,"* Bº LA BOLSA, inmediaciones parque El Soldado, de 228.90 Vr",Bedrooms; Bathrooms; AT; Area; Transaction; Neighborhood,NO,,,"* Bº LA BOLSA, inmediaciones parque El Soldado, de 228.90 Vrs² L. 850,000.00"
27,"* COL. LOMAS DEL MAYAB, Res. de 4 hab., 3 baños, sala, comed",AT; Area; Neighborhood,NO,"$ 450,000.00",4,"* COL. LOMAS DEL MAYAB, Res. de 4 hab., 3 baños, sala, comedor, cocina, área de trabajadora, garaje 7 carros, en un área de terreno de 1,150 Vrs² $ 45"
28,"* SANTA CRUZ, carretera norte, casa en un terreno de 2,500 V",Bathrooms; AT; Area; Transaction; Neighborhood,NO,,3,"* SANTA CRUZ, carretera norte, casa en un terreno de 2,500 Vrs², con agua y luz, 3 habitaciones, sala, comedor, cocina, árboles frutales, L. 1,200,000"
29,"* COL. ALAMEDA, Res. de 4 hab., sala, comedor, cocina, 3 bañ",AT; Area; Neighborhood,NO,,4,"* COL. ALAMEDA, Res. de 4 hab., sala, comedor, cocina, 3 baños, en un terreno de 793.17 Vrs² Lps. 3,000,000.00"
30,"* COMAYAGUELA, centro comercial de 11 cubículos, bien ubicad",Bedrooms; Bathrooms; AT; Neighborhood,NO,,,"* COMAYAGUELA, centro comercial de 11 cubículos, bien ubicados, con un área de construcción de 397.75 Mts. Lps. 6,000,000.00"
31,"* ZAMBRANO, terreno de 9,045.31 Vrs², plano, con agua, L. 1,",Bedrooms; Bathrooms; AT; Area; Transaction; Neighborhood,NO,,,"* ZAMBRANO, terreno de 9,045.31 Vrs², plano, con agua, L. 1,000,000.00"
32,"* Bº LA PLAZUELA, Res. de 2 plantas da a 2 calles, por el la",Bedrooms; AT; Area; Neighborhood,NO,,,"* Bº LA PLAZUELA, Res. de 2 plantas da a 2 calles, por el lago de la calle del Arbolito y Hotel Excelsior, 8 piezas, 4 baños, buena construcción, adem"
33,"* OJOJONA, terreno plano de 10,574 Vrs², Lps. 350.00 Vrs²",Price; Currency; Bedrooms; Bathrooms; AT; Area; Neighborhood,NO,,,"* OJOJONA, terreno plano de 10,574 Vrs², Lps. 350.00 Vrs²"
34,"* COMAYAGUA (Depto. Comayagua), 6 lotes de 1,800 Vrs², bien ",Price; Currency; Bedrooms; Bathrooms; AT; Area; Transaction; Neighborhood,NO,,,"* COMAYAGUA (Depto. Comayagua), 6 lotes de 1,800 Vrs², bien ubicadas, L. 300.00 Vrs²"
35,"* COL. KENNEDY, casa de 3 hab., sala, comedor, cocina, 1 bañ",AT; Area; Transaction; Neighborhood,NO,,3,"* COL. KENNEDY, casa de 3 hab., sala, comedor, cocina, 1 baño, L. 850,000.00"
36,"* COL. CENTRO AMERICA OESTE, Res. de 2 plantas, 3 hab., sala",AT; Area; Neighborhood,NO,,3,"* COL. CENTRO AMERICA OESTE, Res. de 2 plantas, 3 hab., sala, comedor, cocina, 1 baño, empleo, patio pequeño, vehicular, Lps. 900,000.00"
37,"* LA GUADALUPE, casa de niveles, área de 194 Vrs², 1º planta",AT; Area; Neighborhood,YES,,2 / 3,"* LA GUADALUPE, casa de niveles, área de 194 Vrs², 1º planta 2 hab., sala, comedor, cocina, área de empleo, 1 baño, patio pequeño, 2do. nivel 3 habita"
38,"* COL. VILLA UNIVERSITARIA, terreno de 5,000 Vrs², con todos",Price; Currency; Bedrooms; Bathrooms; Area; Transaction; Neighborhood,NO,,,"* COL. VILLA UNIVERSITARIA, terreno de 5,000 Vrs², con todos los servicios públicos, L. 2,000.00 Vr²"
39,"* COL. MIRAFLORES (Villa Esmeralda), terreno de 398.19 Vrs²,",Bedrooms; Bathrooms; AT; Area; Transaction; Neighborhood,NO,,,"* COL. MIRAFLORES (Villa Esmeralda), terreno de 398.19 Vrs², con todos los servicios, completamente plano, L. 1,600,000.00"
40,"* EL ZAMORANO, bonita propiedad de 5 manzanas planas, cultiv",Area; Neighborhood,NO,,3,"* EL ZAMORANO, bonita propiedad de 5 manzanas planas, cultivada de árboles frutales, Res. de 3 hab., sala, comedor, cocina, 2 baños, cocina, área de v"
41,"* COL. MONSEÑOR FIALLOS (ARBOLEDA) Res. de 2 plantas, 1ra. p",Area; Transaction; Neighborhood,NO,,,"* COL. MONSEÑOR FIALLOS (ARBOLEDA) Res. de 2 plantas, 1ra. planta, garaje doble, sala, comedor, cocina, pasillo, bodega, lavandería, kiosko, patio, 2d"
42,"* COL. COUNTRY CLUB: Res. de 2 plantas, 2 salas, estudio, co",Bathrooms; AT; Area; Neighborhood,NO,,4,"* COL. COUNTRY CLUB: Res. de 2 plantas, 2 salas, estudio, cocina, 4 habitaciones, bañera y walking closets, terraza, bodegas, área verde, área comerci"
43,"* ANILLO PERIFERICO: Terreno de 2,000 Vr², plano con todos l",Bedrooms; Bathrooms; Area; Neighborhood,NO,,,"* ANILLO PERIFERICO: Terreno de 2,000 Vr², plano con todos los servicios públicos Lps. 8,000,000.00"
44,"* AMAPALA: Excelentes terrenos 18 manzanas, 85% plano, el 15",Bedrooms; Bathrooms; Area; Neighborhood,YES,$ 4.00 / $ 10.00,,"* AMAPALA: Excelentes terrenos 18 manzanas, 85% plano, el 15% iregular, todos los servicios públicos $ 4.00 Vrs² 10 lotes de terreno de 825.00 Vrs² co"
